Store,WeekOfYear,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8,sales_lag_52,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,EMA_4,EMA_8,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
-5.8591805,113.54172,603.7173,-5655.2773,243.12653,-2.5625741,-126.78639,-93.34659,-5.250136,-3.2948387,-25.88052,-1.3894454,-53.792274,0.031879928,16.24132,35.27938,30.315052,-40.193214,-0.9338609,51.927258,-54.365673,-551.9863,-254.29001,31.84201,-2310.8113,-275.2322,-129.28047,54.927418,45.821648,-257.0177,-24.513103,156.43622,-504.54642,-729.45746,71.67968,3.342084,7.335183,10.271153,-65.53909,-1.109003,-47.1745,5.4860144,-2.657731,22.020725,0.4557062
22.869976,-774.3111,492.52396,6190.797,-1469.5541,12.989602,-165.99556,-158.76036,-4.7553477,-4.0002193,17.773535,-10.964989,-132.92232,7.4582224,-27.570614,86.17128,29.474533,-17.283913,41.216244,1178.7552,-45.482384,-36.530186,465.89944,-161.61124,5525.161,992.90466,266.56686,1203.7349,83.793045,4258.9014,141.7481,-51.42963,104.28074,1026.9973,-93.54709,6.7029414,-26.011879,-18.186451,30.069735,0.74104893,58.44664,1.0307752,-4.890893,40.834347,1.4168137
-8.492457,35.41728,527.9153,5369.2485,-1546.3057,7.8283887,755.43884,304.72318,-4.6065645,-4.9746375,36.87402,-6.878272,-67.03259,3.5385668,34.538803,60.23718,24.44044,-21.51117,144.78389,706.8126,-258.0788,180.85646,7.1999006,-53.275394,-373.4882,838.17084,-80.64924,216.27422,154.74275,513.7025,127.143745,-213.95377,-302.0818,598.36,-105.64103,8.837076,-7.0437937,-9.270655,-29.472721,1.2435981,-51.638783,-30.118961,-36.92772,15.3397665,1.2411437
-11.26879,316.21582,707.3257,-5152.4395,-719.22125,-6.283857,-108.347855,-68.270836,-3.9368758,-5.0956707,13.946588,-1.3252438,-79.70671,-2.995494,-28.750717,41.360504,11.462799,-30.283392,42.161087,64.38018,-238.86586,-542.89545,-75.28709,-49.97478,-2255.6436,-612.70734,-110.04066,-807.28723,2.7509768,-3186.3271,159.05936,-161.21242,-1031.8086,-455.21756,-92.654625,5.741542,3.2410095,-6.9162135,89.2172,-0.80630314,70.10702,3.8810337,-7.2021136,1.2699383,0.4557062
-10.181463,-452.7525,-1372.062,6014.5107,-1236.0476,-2883.013,-129.26314,608.2677,-7.7805295,-5.6606383,45.939808,-15.322779,-34.004265,-0.059365682,25.754599,36.620903,30.160072,71.28345,68.34404,710.5302,-405.18835,214.65881,933.36096,-139.88399,-756.1538,1800.8828,239.17558,477.5192,165.17732,2468.807,177.0217,4.2389216,109.07741,288.09467,145.49611,7.7318034,89.16427,-8.911022,-23.05271,0.9972295,-36.43408,-34.262844,17.123178,-3.3554645,1.2411437
-5.403123,-833.13824,396.81027,4104.8945,271.28912,15.075582,-122.510025,-53.25717,-4.7623878,-2.8110883,-106.62198,-4.8272014,86.65675,0.3675077,-17.039328,13.492978,2.7071526,57.63399,55.61545,509.7039,-326.76163,193.37393,-264.5535,41.603706,-1987.5222,-397.6406,-134.06108,-739.6271,-61.97151,-2696.1802,-37.190132,-529.87085,-684.0437,520.5495,-2.0972965,10.400732,5.7726073,-10.33959,-5.5909367,0.6069597,-24.753222,-2.686748,30.330685,-9.803914,1.0717654
-14.198618,311.10712,-1827.8094,4307.9844,324.83887,6.17867,333.83755,-227.06424,-3.6239903,-3.9208379,75.35397,-2.2989626,79.49648,0.2382219,-77.51985,93.76786,6.034234,-19.275225,37.475216,572.1105,-83.95632,-335.45245,223.70229,-66.99012,4523.1064,-44.568703,-49.704296,310.53146,150.20557,4236.8354,-752.3671,-618.77374,-175.28667,802.16254,-161.01189,4.0076594,25.523708,-13.247205,-42.86913,-0.77970535,-45.84328,-5.6366043,-14.823343,-1.7887816,1.250272
-1.426861,200.94727,629.72943,-4065.9287,265.69116,-6.312002,-90.42661,-78.59652,-6.6994753,-12.340048,25.633705,-2.9749408,-11.116151,-0.10789019,-29.032516,51.082005,-16.591444,14.918353,-24.123821,-200.42822,-291.1036,-530.1404,-97.95087,-12.018836,-2528.475,-1227.9679,279.27957,-1116.8873,89.61818,-4710.6484,425.9186,-927.9743,-1869.3346,-307.186,-47.327213,2.747928,12.538634,-4.899184,-39.06363,-2.2561502,-37.261272,3.3271828,-20.816092,-2.029899,-0.38091052
-149.97081,-395.17947,392.46722,5650.101,321.62497,18.662052,-142.04887,-71.186325,-4.6565595,-2.1111975,38.703236,-5.654253,36.80853,1.553072,8.477763,53.96563,32.685165,-7.5032907,49.81012,578.7814,-235.05992,172.4904,862.89954,-60.7845,-1194.8978,1255.7318,153.33669,266.7803,-72.79973,946.6863,5.9973326,34.784916,-130.40173,873.2069,76.00329,10.643823,-4.9773545,24.826338,13.118475,1.4560069,38.475002,-1.5773911,-13.481079,25.512411,1.4168137
-5.759067,1217.0808,472.33444,4750.5977,385.29346,6.522773,-102.41386,-59.406036,-9.983998,-2.381575,-62.031563,-3.5785198,-14.245973,0.6725531,-31.733805,-20.838554,-31.151205,6.3661885,-32.69828,194.07388,-121.85016,-284.17776,-406.2419,19.167862,-577.68304,53.50967,-275.32675,-137.45984,-126.28114,-1025.5248,141.04726,-28.798645,-881.755,-505.37,-58.365334,5.0242085,7.8792877,-10.101998,-3.9382777,-0.023477215,-17.865088,-8.590058,-9.452022,-5.018181,-0.38091052
