Store,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,EMA_3,EMA_6,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
-3.7237022,-249.0438,413.56268,503.61688,8.799554,271.53625,141.78285,-11.156812,0.0,-725.4016,-8.134827,-89.45993,-1.3020151,43.1812,307.88824,1.2364602,11.931135,-107.22044,1539.0334,-5384.7812,-121.85147,-28.70412,-13336.301,175.90714,215.93883,-317.16574,196.61513,-6042.579,-5254.8257,0.0,-63.087883,-0.8666832,-25.327293,-110.07514,-361.59024,-11.673939,-90.15951,1.7735716,-31.511435,-4.8367915,-0.9027102
-48.51831,-118.4039,545.3221,455.68683,-5.8620768,438.66077,282.3143,-27.050032,0.0,-286.82114,6.472215,-485.22253,2.5971642,145.61548,561.692,-8.500412,-50.2696,84.318436,1506.0657,10840.311,815.1844,-611.46027,37402.605,1786.4056,520.33453,5636.5107,-205.61128,17133.055,16129.436,0.0,-44.509377,-0.13315308,-2.3522372,-177.096,-448.5011,-42.119053,-128.02618,2.0606167,-11.773106,53.085133,2.3576992
40.28353,2841.3027,1769.977,-286.9237,4.3747993,283.0842,108.64374,-31.1248,0.0,-87.8572,-81.66624,470.71558,0.36147118,38.538902,-723.27386,4.6166024,23.18034,-80.696144,376.96054,-3482.6416,-302.84998,-35.021065,-12807.311,138.13474,184.13174,-1669.7543,222.01588,-3308.374,-4206.238,0.0,-47.37401,-8.619484,-27.386694,-71.66941,653.7063,-14.307599,89.85443,4.5511813,70.27439,-9.173248,-2.1267002
-0.15422095,2458.1262,1958.8025,490.19485,16.015755,319.53024,114.70361,-12.350411,0.0,-476.36652,-17.745346,-291.09695,-1.0279815,-42.67514,351.8096,-3.6518836,10.914239,275.6552,531.6764,-6845.1035,-43.46414,-57.69761,-14844.697,-564.15027,285.97046,-1174.2919,284.65332,-8368.748,-10735.339,0.0,-119.25657,-8.825316,-5.2581844,-106.05681,-526.80396,-11.670578,-104.30889,2.0949879,-17.049007,56.497982,2.3576992
11.327036,-1629.9714,-1923.8224,109.08612,119.64623,-863.13525,-606.78455,-10.992375,0.0,-2701.4932,-69.060745,-331.68878,-0.3598281,-32.375668,-104.87423,-4.9597745,22.170109,73.17446,2244.165,-6848.88,509.476,-424.71506,19775.479,-721.8521,263.76733,-1682.4779,283.72684,-207.09048,1283.6494,0.0,-107.804375,-5.3837976,-8.204319,-217.89328,1083.7062,-23.992533,66.15757,-35.218582,-22.841887,-6.4955597,1.5622113
-6.2829056,-1404.2086,-1635.9305,30.034765,69.24946,-1025.7999,-1546.9728,-17.768341,0.0,-740.9292,12.844129,-1364.8618,-7.3843393,115.20435,639.13745,-14.678618,47.337467,-24.671833,1571.0931,9701.212,770.9078,-16.600431,38476.613,924.32306,281.1435,3086.0898,-1642.9235,15245.448,11186.571,0.0,-79.958916,-1.5745014,28.066378,-47.27279,-707.6908,-39.939007,-143.12686,7.102069,-8.980233,-22.40301,-0.59813553
-3.571486,1856.8976,1175.1129,629.97754,-4.769066,288.17194,136.30524,-13.448058,0.0,347.48373,-0.6826637,-237.46114,-1.3452418,-51.816013,-41.47362,-5.297863,-15.491249,161.79555,117.94242,-11320.877,-521.54205,-532.5153,-23204.367,-1556.2257,321.20853,-3039.1138,233.06866,-22348.422,-17452.994,0.0,-122.29421,-8.47966,-5.3010025,-118.68119,-527.1026,-11.794306,-119.55637,2.6937494,10.757191,-5.1762385,1.590288
-64.55047,-270.72095,398.28152,435.51675,-24.489315,296.9419,98.65363,-12.42626,0.0,-457.43005,-8.227995,327.80676,-0.75336075,-44.812695,-84.079254,0.8721106,10.121285,-182.82918,1640.7548,-5790.744,-139.45546,5.0793676,-14134.451,124.995735,206.67134,-232.49042,-150.51357,-6445.5757,-4704.1943,0.0,70.648384,-0.82112455,-21.976028,201.19781,419.19406,-11.49116,43.382175,1.9616494,-6.064907,-3.8492436,-0.9027102
-322.19168,-161.74857,702.2133,376.2834,-16.499569,450.14902,321.86697,528.23584,0.0,810.3254,-113.69334,207.4726,-3.4084885,-520.73224,360.26093,6.8801537,9.318186,-38.328026,1778.6887,13209.8,635.12067,-839.1089,51372.812,1372.1576,106.23145,6061.3687,-2946.1394,21199.824,17501.262,0.0,46.636192,0.30729425,22.211086,-199.67235,-441.9195,-90.995544,-142.2992,1.3652917,-20.086622,-4.455888,-0.9027102
105.60326,-272.4535,476.5873,587.01117,50.099255,334.57687,314.2363,-11.6001,0.0,-956.2456,-62.266457,-510.68585,-1.312031,-209.11417,357.59097,-13.91985,20.756573,-69.58745,2052.3828,1567.8837,868.9001,332.30176,19888.37,629.61707,351.08328,-566.4591,248.61298,9188.268,6714.629,0.0,-58.282936,-3.296193,-2.5651183,-61.302803,-487.75616,-39.85205,-61.442265,2.7461767,-14.64178,-5.2090044,-0.9027102
